Image,Description
189.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
291.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape round. The 2nd wound is located in right, with size small and shape rough. "
766.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape flattened. "
652.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
730.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
560.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
280.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
326.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
20.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-right, with size small and shape rough. The 2nd wound is located in right, with size small and shape round. "
613.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
307.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
294.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
365.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
468.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
465.jpg,"In this image, 4 wounds are detected. The 1st wound is located in left, with size small and shape round. The 2nd wound is located in bottom, with size small and shape rough. The 3rd wound is located in left, with size small and shape round. The 4th wound is located in left, with size small and shape round. "
629.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
271.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
125.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
615.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
306.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
1.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
187.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
547.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
53.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
256.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
452.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
793.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
207.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
645.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
303.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
69.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
176.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
66.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
608.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
233.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
531.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
84.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
661.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
313.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
649.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
778.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
281.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
782.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
26.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
104.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
659.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
696.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape rough. The 2nd wound is located in top, with size small and shape round. "
72.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
323.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
138.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
46.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
315.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
382.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape round. "
238.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
578.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in top-middle, with size small and shape round. "
657.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
204.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
45.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
631.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
495.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
115.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
444.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
77.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
410.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
797.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
515.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
490.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
177.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
533.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
739.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
484.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
693.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
178.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
525.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
342.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
331.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
441.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
446.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
773.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
195.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
407.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
761.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
132.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
284.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
311.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center-right, with size small and shape round. "
131.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
126.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
587.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
632.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
188.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
548.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
74.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
721.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
736.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape round. The 2nd wound is located in top, with size small and shape round. "
80.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
42.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
368.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
102.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
514.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape rough. The 2nd wound is located in right, with size small and shape rough. "
411.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
497.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
554.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
794.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
456.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
641.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
671.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
165.jpg,"In this image, 3 wounds are detected. The 1st wound is located in bottom, with size small and shape round. The 2nd wound is located in right, with size small and shape rough. The 3rd wound is located in top, with size small and shape round. "
726.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
60.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
24.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
433.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
150.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
504.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape round. The 2nd wound is located in top-middle, with size small and shape round. "
508.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape rough. The 2nd wound is located in right, with size small and shape rough. "
744.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
713.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape round. "
493.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape rough. "
82.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in left, with size small and shape round. "
541.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
200.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
264.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape round. The 2nd wound is located in left, with size small and shape round. "
308.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
746.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape flattened. The 2nd wound is located in right, with size small and shape round. "
327.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
717.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape round. "
276.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
601.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in top, with size small and shape round. "
116.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
119.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
21.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
350.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
39.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
472.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
624.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
610.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in right, with size small and shape rough. "
675.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
416.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
592.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
725.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
524.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
509.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
65.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
580.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
603.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
110.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
120.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
129.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
397.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape round. "
621.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
453.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
68.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
266.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
409.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
428.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
317.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
709.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
90.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
355.jpg,"In this image, 2 wounds are detected. The 1st wound is located in center, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
62.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
606.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
22.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
389.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-middle, with size small and shape round. "
253.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
729.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
296.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
153.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-middle, with size small and shape round. "
52.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
272.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
461.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
383.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
158.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
638.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
364.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
64.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
28.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
569.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
395.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
329.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
354.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
435.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
682.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
477.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
232.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
616.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
182.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
288.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-right, with size small and shape round. "
400.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
599.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
59.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-middle, with size small and shape round. "
339.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
361.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
650.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
698.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
572.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
534.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
654.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
206.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
184.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
273.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
562.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
511.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
405.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
388.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape flattened. "
759.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
565.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
147.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
179.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
164.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
152.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
30.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
738.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
770.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
183.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
459.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
328.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
724.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
332.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
743.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape rough. The 2nd wound is located in right, with size small and shape round. "
688.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
673.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
199.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
373.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape rough. "
336.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
535.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape round. The 2nd wound is located in top-right, with size small and shape rough. "
58.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
623.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
96.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
485.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape flattened. "
262.jpg,"In this image, 2 wounds are detected. The 1st wound is located in left, with size small and shape rough. The 2nd wound is located in top-right, with size small and shape round. "
17.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
344.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
186.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
298.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
670.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
609.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
460.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
108.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
506.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
31.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
768.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
628.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
694.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
338.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
145.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
246.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape rough. "
619.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
226.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
678.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
788.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape round. "
349.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
341.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
98.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
247.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
312.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
393.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
83.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape rough. "
345.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
103.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
91.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
137.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
421.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
297.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
454.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
231.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
6.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
51.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
374.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
229.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape rough. "
101.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
783.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
591.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-middle, with size small and shape round. "
222.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
760.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in left, with size small and shape round. "
570.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
510.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
399.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
741.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
148.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
742.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
55.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
78.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
699.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
795.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
325.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
662.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
639.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
532.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
557.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
16.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
127.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
496.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
249.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
390.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
458.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
679.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
701.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
333.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
776.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
379.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
439.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
765.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
234.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
604.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
236.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
346.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
123.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
733.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
213.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
5.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
241.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-right, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
223.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
169.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
550.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
